id;ID_Segment;Lenght;distance;angle;Nom;Lat;Long;Rayon
4;T4;;80.000000000000000;12.154941697216685;Matexi Beton-Lemaire;50.6623728500;4.5725431090;50
4;T4;;90.000000000000000;0.000000000000000;Matexi Beton-Lemaire;50.6624624600;4.5725476400;50
4;T4;;100.000000000000000;1.245364266806390;Matexi Beton-Lemaire;50.6625523500;4.5725483330;50
4;T4;;110.000000000000000;1.245364266806390;Matexi Beton-Lemaire;50.6626422300;4.5725517970;50
4;T4;;120.000000000000000;1.245364266806390;Matexi Beton-Lemaire;50.6627321000;4.5725552600;50
4;T4;;130.000000000000000;351.160149953073926;Matexi Beton-Lemaire;50.6628210600;4.5725362070;50
4;T4;;140.000000000000000;351.160149953073926;Matexi Beton-Lemaire;50.6629099300;4.5725148560;50
4;T4;;150.000000000000000;341.757709919239574;Matexi Beton-Lemaire;50.6629983600;4.5724906190;50
5;T5;;0.000000000000000;212.005383208083487;Matexi Beton-Lemaire;50.6616920700;4.5721940250;50
5;T5;;10.000000000000000;212.005383208083487;Matexi Beton-Lemaire;50.6616159700;4.5721187350;50
5;T5;;20.000000000000000;216.027373385103630;Matexi Beton-Lemaire;50.6615405800;4.5720417790;50
5;T5;;30.000000000000000;216.027373385103630;Matexi Beton-Lemaire;50.6614680200;4.5719582760;50
5;T5;;40.000000000000000;216.027373385103630;Matexi Beton-Lemaire;50.6613954600;4.5718747740;50
5;T5;;50.000000000000000;225.359950867842457;Matexi Beton-Lemaire;50.6613287600;4.5717806250;50
5;T5;;60.000000000000000;225.359950867842457;Matexi Beton-Lemaire;50.6612657600;4.5716797170;50
5;T5;;70.000000000000000;226.245364266773578;Matexi Beton-Lemaire;50.6612029000;4.5715786170;50
5;T5;;80.000000000000000;226.245364266773578;Matexi Beton-Lemaire;50.6611409000;4.5714761890;50
5;T5;;90.000000000000000;226.245364266773578;Matexi Beton-Lemaire;50.6610789100;4.5713737620;50
5;T5;;100.000000000000000;226.832994529777721;Matexi Beton-Lemaire;50.6610173600;4.5712706750;50
5;T5;;110.000000000000000;226.832994529777721;Matexi Beton-Lemaire;50.6609560400;4.5711672540;50
5;T5;;120.000000000000000;226.832994529777721;Matexi Beton-Lemaire;50.6608947200;4.5710638330;50
5;T5;;130.000000000000000;224.708317050336973;Matexi Beton-Lemaire;50.6608320500;4.5709624570;50
5;T5;;140.000000000000000;224.708317050336973;Matexi Beton-Lemaire;50.6607683300;4.5708626840;50
5;T5;;150.000000000000000;224.708317050336973;Matexi Beton-Lemaire;50.6607046100;4.5707629120;50
5;T5;;160.000000000000000;224.708317050336973;Matexi Beton-Lemaire;50.6606408900;4.5706631390;50
5;T5;;170.000000000000000;224.052699405379457;Matexi Beton-Lemaire;50.6605765700;4.5705643330;50
5;T5;;180.000000000000000;227.489552921972745;Matexi Beton-Lemaire;50.6605158000;4.5704601290;50
5;T5;;190.000000000000000;227.489552921972745;Matexi Beton-Lemaire;50.6604552300;4.5703556110;50
5;T5;;200.000000000000000;227.489552921972745;Matexi Beton-Lemaire;50.6603946700;4.5702510930;50
5;T5;;210.000000000000000;227.489552921972745;Matexi Beton-Lemaire;50.6603341000;4.5701465750;50
6;T6;;0.000000000000000;19.334808537869154;Matexi Beton-Lemaire;50.6624321300;4.5691124820;50
